permno,date,prc,ret,vol,ticker
10107,2011-01-03,27.98,0.002508,53613367.0,MSFT
10107,2011-01-04,28.0875,0.003842,54542150.0,MSFT
10107,2011-01-05,28.0,-0.003115,59012770.0,MSFT
10107,2011-01-06,28.82,0.029286,88255842.0,MSFT
10107,2011-01-07,28.6,-0.007634,73953602.0,MSFT
10107,2011-01-10,28.22,-0.013287,57697717.0,MSFT
10107,2011-01-11,28.11,-0.003898,50440195.0,MSFT
10107,2011-01-12,28.55,0.015653,52760085.0,MSFT
10107,2011-01-13,28.19,-0.012609,67260332.0,MSFT
10107,2011-01-14,28.3,0.003902,62847432.0,MSFT
10107,2011-01-18,28.66,0.012721,56037839.0,MSFT
10107,2011-01-19,28.47,-0.006629,50157862.0,MSFT
10107,2011-01-20,28.3525,-0.004127,58799147.0,MSFT
10107,2011-01-21,28.02,-0.011727,58217438.0,MSFT
10107,2011-01-24,28.38,0.012848,52296260.0,MSFT
10107,2011-01-25,28.45,0.002467,42584740.0,MSFT
10107,2011-01-26,28.78,0.011599,74803462.0,MSFT
10107,2011-01-27,28.87,0.003127,145706295.0,MSFT
10107,2011-01-28,27.751,-0.03876,141606906.0,MSFT
10107,2011-01-31,27.725,-0.000937,65216579.0,MSFT
10107,2011-02-01,27.9925,0.009648,63005796.0,MSFT
10107,2011-02-02,27.94,-0.001875,45944807.0,MSFT
10107,2011-02-03,27.65,-0.010379,60519679.0,MSFT
10107,2011-02-04,27.77,0.00434,40551332.0,MSFT
10107,2011-02-07,28.1975,0.015394,69137576.0,MSFT
10107,2011-02-08,28.2825,0.003014,35052053.0,MSFT
10107,2011-02-09,27.97,-0.011049,53039950.0,MSFT
10107,2011-02-10,27.5,-0.016804,76871485.0,MSFT
10107,2011-02-11,27.25,-0.009091,84118510.0,MSFT
10107,2011-02-14,27.23,-0.000734,56958239.0,MSFT
10107,2011-02-15,26.96,-0.00404,44242509.0,MSFT
10107,2011-02-16,27.02,0.002226,71125435.0,MSFT
10107,2011-02-17,27.21,0.007032,57349814.0,MSFT
10107,2011-02-18,27.06,-0.005513,68812190.0,MSFT
10107,2011-02-22,26.59,-0.017369,61097215.0,MSFT
